,conditions,creationDate,worker_id,assignment_id,pid
0,{},Sat Apr 29 20:23:04 2017,A13XXMDHOULEZ7,3VSOLARPKB9O74GLUPJ34Q1KJA3939,0
1,{},Sat Apr 29 20:23:04 2017,A154X03NKVZZL1,33FOTY3KEMLUVZ99J5FBINNVRBQC1Z,1
2,{},Sat Apr 29 20:23:04 2017,A16UAN46CNIRHY,3TXMY6UCAEOIC3TQ4K5QJOV3ZNICQU,2
3,{},Sat Apr 29 20:23:04 2017,A174BCWX0VMM1B,3HVVDCPGTES87MMNHGHALKY9MI0TYY,3
4,{},Sat Apr 29 20:23:04 2017,A1FLNAFLLO3UPK,3LKC68YZ3A3O5PMF6YDN6D76C2HWOE,4
5,{},Sat Apr 29 20:23:04 2017,A1GXFMAC759VRM,3X4MXAO0BGOR22EVYQUR08CBNP1RWI,5
6,{},Sat Apr 29 20:23:04 2017,A1J21DM2Z753X4,3XUHV3NRVKYK0PL86KVOW4XSGJ1H5W,6
7,{},Sat Apr 29 20:23:04 2017,A1L3937MY09J3I,3DR23U6WE5EA1H5WHF5GEH6T46UET3,7
8,{},Sat Apr 29 20:23:04 2017,A1MIR0TP081SKT,34J10VATJFY9P6FQWU1CURTYCS3IQ3,8
9,{},Sat Apr 29 20:23:04 2017,A1NUKP1UCT2R2R,3YDGXNSEOZU9BVGFPBI8EZYFD4G48Z,9
10,{},Sat Apr 29 20:23:04 2017,A1OK974KXKO6FJ,3M68NM076H7T8NZP78HN2EDYZN96RX,10
11,{},Sat Apr 29 20:23:04 2017,A1SP4XA17LVUQI,3SLE99ER0ND8GQ2BDGS8ZX1PM52ZB3,11
12,{},Sat Apr 29 20:23:04 2017,A1XVZCQ983ETMR,345LHZDEDXSMRW4OS0EU0MOYWVAU3I,12
13,{},Sat Apr 29 20:23:04 2017,A1ZB2NY0F9QNP0,3HMVI3QICJS7Y2AEFXX0FEFEUZ81YW,13
14,{},Sat Apr 29 20:23:04 2017,A20NITCOBY4775,3J4Q2Z4UTY3RQ1ZVLB5RVI26R3ZWQM,14
15,{},Sat Apr 29 20:23:04 2017,A21EZISIJ3JPSW,3I33IC7ZWF2DR5U7IVJYHB7CJEJ2A4,15
16,{},Sat Apr 29 20:23:04 2017,A2JLKYXYQIL7YV,39ZSFO5CA8WXCA6DVL6HGT5NSSWUJU,16
17,{},Sat Apr 29 20:23:04 2017,A2KXARDIOGJL8T,3A1COHJ8NJV3N74A4I2R8O7JI91H8X,17
18,{},Sat Apr 29 20:23:04 2017,A2R0Y8A3SSZ30S,3DY4FPOOA1OENDEQ8GPVE6TXGGZRV8,18
19,{},Sat Apr 29 20:23:04 2017,A2TY9UFU76QU6K,3IAEQB9FMEKX1SVQGPZ7VJV78ODWDK,19
20,{},Sat Apr 29 20:23:04 2017,A3135Y3RMFC3PK,3RYC5T2D73T1ITHUM4GW8E4FUSYPRL,20
21,{},Sat Apr 29 20:23:04 2017,A31JJT3IP69MZ3,35DR22AR5DKE80YJX5PHKTN2QDU3XM,21
22,{},Sat Apr 29 20:23:04 2017,A37WXDYYT7RCZ0,358UUM7WRZ3CCNDUQIMF8SDUUYT7RX,22
23,{},Sat Apr 29 20:23:04 2017,A3QPXVR380M413,3HL8HNGX451JNGWEEKK55ZQHM069FG,23
24,{},Sat Apr 29 20:23:04 2017,A8RDXT4ZILHQT,32EYX73OY09EAYPQ3QFQIKRE29QRUJ,24
25,{},Sat Apr 29 20:23:04 2017,AA402T4YY1S7N,3VP0C6EFSGW2B7MX20L6GFJOT0AM6P,25
26,{},Sat Apr 29 20:23:04 2017,AA4KKLIU4C3NY,35DR22AR5DKE80YJX5PHKTN2QDS3XK,26
27,{},Sat Apr 29 20:23:04 2017,ABX5OQLR6UNBC,3ZAZR5XV01IRQVUHRGO3AH774Q2ZCA,27
28,{},Sat Apr 29 20:23:04 2017,ANDT8L0OMD5K3,3DL65MZB8DFTF03LVTAQP76PGKVECL,28
29,{},Sat Apr 29 20:23:04 2017,AUY0EZC3XDJZJ,3D8YOU6S9EKLOFR6B2CS7P0I6MCU6O,29
