A18TCR555RWUZV:3TXD01ZLD4H79SNSSEJDARG374V4UF,params,{}
A18TCR555RWUZV:3TXD01ZLD4H79SNSSEJDARG374V4UF,final_bonus,4.07
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,params,{}
A1945USNZHTROX:3OJSZ2ATDSWN70FWTB9C5R8XZQY75S,final_bonus,4.88
A1CH3TODZNQCES:3IX2EGZR7BJ5WIEWRRBCBII2I3NJRP,params,{}
A1CH3TODZNQCES:3IX2EGZR7BJ5WIEWRRBCBII2I3NJRP,final_bonus,2.17
A1HWB810RJBV2K:3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,params,{}
A1HWB810RJBV2K:3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,final_bonus,3.02
A1PTH9KTRO06EG:3NOKK93PR188CYNZRKGLFV6RY61EEM,params,{}
A1PTH9KTRO06EG:3NOKK93PR188CYNZRKGLFV6RY61EEM,final_bonus,3.22
A1YVMDRR9W1LZ1:3XUHV3NRVKYK0PL86KVOW4XRDTUH54,params,{}
A1YVMDRR9W1LZ1:3XUHV3NRVKYK0PL86KVOW4XRDTUH54,final_bonus,3.23
A25YG9M911WA3T:3VP0C6EFSGW2B7MX20L6GFJNQA4M6Y,params,{}
A25YG9M911WA3T:3VP0C6EFSGW2B7MX20L6GFJNQA4M6Y,final_bonus,3.21
A28FMRMS9TMEOZ:3483FV8BEEJC43I4SI2M165PK4H26F,params,{}
A28FMRMS9TMEOZ:3483FV8BEEJC43I4SI2M165PK4H26F,final_bonus,4.64
A2E9NUZZ4S2VJ9:3YJ6NA41JBGKK5YHEZ7N6NINHLZJPX,params,{}
A2E9NUZZ4S2VJ9:3YJ6NA41JBGKK5YHEZ7N6NINHLZJPX,final_bonus,2.75
A2MCG5W6LHSRG9:3JC6VJ2SABJ5Q2DU0ELWFIAN0Y45AH,params,{}
A2MCG5W6LHSRG9:3JC6VJ2SABJ5Q2DU0ELWFIAN0Y45AH,final_bonus,4.48
A2NA2OJT15COZY:3Q5ZZ9ZEVOFR7EKF3G1IJR4SAA458D,params,{}
A2NA2OJT15COZY:3Q5ZZ9ZEVOFR7EKF3G1IJR4SAA458D,final_bonus,2.68
A2VRDE2FHCBMF8:38F5OAUN5NCZNTZRUDALUOBN4ZPH7J,params,{}
A2VRDE2FHCBMF8:38F5OAUN5NCZNTZRUDALUOBN4ZPH7J,final_bonus,4.93
A2XNO2KWLLGW6Z:39KFRKBFINVSUUHFLZVBRASLKKCOYF,params,{}
A2XNO2KWLLGW6Z:39KFRKBFINVSUUHFLZVBRASLKKCOYF,final_bonus,3.4
A32QJF67JMJFKX:326O153BMIY3KS9ZVP519DO6YU0EDT,params,{}
A32QJF67JMJFKX:326O153BMIY3KS9ZVP519DO6YU0EDT,final_bonus,3.22
A3AO2N7BNFDGF3:3NGI5ARFTT5DPOIDOA1H2NM1N4ZP1Z,params,{}
A3AO2N7BNFDGF3:3NGI5ARFTT5DPOIDOA1H2NM1N4ZP1Z,final_bonus,3.68
A3G00Q5JV2BE5G:3CCZ6YKWR7JRLJ3P887WJNZ3UGM592,params,{}
A3G00Q5JV2BE5G:3CCZ6YKWR7JRLJ3P887WJNZ3UGM592,final_bonus,2.89
A3GPTSDDHJ2DBV:3HUTX6F6VUN2T9O8SEOGI6RG55H2OC,params,{}
A3GPTSDDHJ2DBV:3HUTX6F6VUN2T9O8SEOGI6RG55H2OC,final_bonus,3.75
A3KX8PBHVFQZ3U:3QAPZX2QN4DHQSWPQTM5S5VY71V02C,params,{}
A3KX8PBHVFQZ3U:3QAPZX2QN4DHQSWPQTM5S5VY71V02C,final_bonus,3.67
A4J4GGMKJ68L0:34HJIJKLP5W7M7CSX4TI6DIMLB44V4,params,{}
A4J4GGMKJ68L0:34HJIJKLP5W7M7CSX4TI6DIMLB44V4,final_bonus,3.87
ACNPJ7WXOGX5M:3W8CV64QJ2Z31CNK9A858K2TZPD9HN,params,{}
ACNPJ7WXOGX5M:3W8CV64QJ2Z31CNK9A858K2TZPD9HN,final_bonus,1.85
AD7CUW86FWEKT:3OJSZ2ATDSWN70FWTB9C5R8XZQY57Q,params,{}
AD7CUW86FWEKT:3OJSZ2ATDSWN70FWTB9C5R8XZQY57Q,final_bonus,5.46
AUI3R928P63B0:3Z4GS9HPNVA2U4TFH4O93BMTQWT777,params,{}
AUI3R928P63B0:3Z4GS9HPNVA2U4TFH4O93BMTQWT777,final_bonus,3.4
