A03922113RU44GENR8ATX:3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A03922113RU44GENR8ATX:3M81GAB8A0JZ2Y1KQK9V84PKEIBBQ6,final_bonus,1.41
A11DOB7V9YBL4S:3PPTZCWALQKVKW40WYPYUMWN5L7QZ1,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A11DOB7V9YBL4S:3PPTZCWALQKVKW40WYPYUMWN5L7QZ1,final_bonus,1.62
A11P1OS26E6AMO:3IKZ72A5B4G4CI08FU3AN0L0O5DFN2,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A11P1OS26E6AMO:3IKZ72A5B4G4CI08FU3AN0L0O5DFN2,final_bonus,2.74
A14NP6X071S7GK:3TY7ZAOG5FKC780FFZS9S1HSO8J0KE,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A14NP6X071S7GK:3TY7ZAOG5FKC780FFZS9S1HSO8J0KE,final_bonus,1.17
A15FXHC1CVNW31:3FIJLY1B6U44F3CLV9G2RPQVOKEFPY,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A15FXHC1CVNW31:3FIJLY1B6U44F3CLV9G2RPQVOKEFPY,final_bonus,1.42
A1HRHFU7KTS0KW:3FFJ6VRIL1OL1DARFW7XFL2FW4U0I3,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A1HRHFU7KTS0KW:3FFJ6VRIL1OL1DARFW7XFL2FW4U0I3,final_bonus,1.65
A1I9ZBV75AVWUS:3KWTYT08703MML4YX5AMOWQYUGZ5L7,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A1I9ZBV75AVWUS:3KWTYT08703MML4YX5AMOWQYUGZ5L7,final_bonus,2.24
A1IM6TFN3AAMBY:31UV0MXWNQCKWKWSC2D9WGY6DC55IT,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A1IM6TFN3AAMBY:31UV0MXWNQCKWKWSC2D9WGY6DC55IT,final_bonus,2.05
A1WL3NZ50YEOWP:3LWJHTCVCCMPFFD0VMVRRUG5TG0FQP,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A1WL3NZ50YEOWP:3LWJHTCVCCMPFFD0VMVRRUG5TG0FQP,final_bonus,1.04
A25AX0DNHKJCQT:3BF51CHDTVAL5IZ79EPCF910WRF0HA,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A2COVA7FSAIH3D:38F71OA9GTWYU0F83TOAALW0JF3FM2,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A2COVA7FSAIH3D:38F71OA9GTWYU0F83TOAALW0JF3FM2,final_bonus,0.9
A2DWQF4ZHHBLOW:3NVC2EB65QZ385OT21BJ37UAPZBY31,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A2DWQF4ZHHBLOW:3NVC2EB65QZ385OT21BJ37UAPZBY31,final_bonus,0.75
A2H5V1V8QIY8Y7:3E1QT0TDFP93J2FUA0KC808XF268IY,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A2H5V1V8QIY8Y7:3E1QT0TDFP93J2FUA0KC808XF268IY,final_bonus,1.62
A2HOUSKURBF8UA:3RXCAC0YIRPPNB9ZKCK9NOVH0PE8G6,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A2HOUSKURBF8UA:3RXCAC0YIRPPNB9ZKCK9NOVH0PE8G6,final_bonus,2.74
A2V2I8HXL9EHQ1:3A1COHJ8NJV3N74A4I2R8O7IFPR8H5,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A2V2I8HXL9EHQ1:3A1COHJ8NJV3N74A4I2R8O7IFPR8H5,final_bonus,0.86
A2VD133723IZR8:378XPAWRUCDH2Q897Y4Q4RES5Q6IAC,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A2VD133723IZR8:378XPAWRUCDH2Q897Y4Q4RES5Q6IAC,final_bonus,1.25
A2WGW5Y3ZFBDEC:3FDJT1UU748B2FMGC5YL9WDJ5GU5K4,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A2WGW5Y3ZFBDEC:3FDJT1UU748B2FMGC5YL9WDJ5GU5K4,final_bonus,4.66
A326O3VWP8TO8N:3IOEN3P9S7J5FI089E28WNVKS5616E,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A326O3VWP8TO8N:3IOEN3P9S7J5FI089E28WNVKS5616E,final_bonus,1.85
A33QXQVY6GU1FI:3VSOLARPKB9O74GLUPJ34Q1JGQR39I,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A33QXQVY6GU1FI:3VSOLARPKB9O74GLUPJ34Q1JGQR39I,final_bonus,3.19
A34930YXVQ8SUT:3NC5L260MOMMU30KG93N2PL5EFIFOH,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A34930YXVQ8SUT:3NC5L260MOMMU30KG93N2PL5EFIFOH,final_bonus,1.87
A35HVY5S3USKZS:3Y9N9SS8LYB0AUT265O5QMK97B6D39,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A35HVY5S3USKZS:3Y9N9SS8LYB0AUT265O5QMK97B6D39,final_bonus,3.2
A3CWEIEY3TGJFX:3P529IW9KYLEOIXN3HNVA8HBJADFL0,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A3CWEIEY3TGJFX:3P529IW9KYLEOIXN3HNVA8HBJADFL0,final_bonus,1.46
A3MPHGI584PR1U:3NVC2EB65QZ385OT21BJ37UAPZBY31,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A3OV174HQJIJK8:32SVAV9L3F92CNQQMVX30LC3M893AX,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
A3OV174HQJIJK8:32SVAV9L3F92CNQQMVX30LC3M893AX,final_bonus,1
A5EU1AQJNC7F2:37ZHEEHM6WMKTLSSFSLJQUADL03376,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
AB1RF17U3HM3W:3HPZF4IVNMTRL5KCVUMKWAY4VCPCYE,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
AB1RF17U3HM3W:3HPZF4IVNMTRL5KCVUMKWAY4VCPCYE,final_bonus,0.86
AC5UD8N187QD6:3E47SOBEYQW5V557RC0HAM4G5TRICE,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
AC5UD8N187QD6:3E47SOBEYQW5V557RC0HAM4G5TRICE,final_bonus,1.62
ACDX50KGPE97I:3ZWFC4W1UU7PRGS081KRWKQAP22FRQ,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
ACDX50KGPE97I:3ZWFC4W1UU7PRGS081KRWKQAP22FRQ,final_bonus,2.39
AERKFVXFXBVIW:3YHH42UU5BFNREIX0Z4A71U7D8O0LH,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
AERKFVXFXBVIW:3YHH42UU5BFNREIX0Z4A71U7D8O0LH,final_bonus,0
AFZKP8TAXAUCR:3BF51CHDTVAL5IZ79EPCF910WRF0HA,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
AFZKP8TAXAUCR:3BF51CHDTVAL5IZ79EPCF910WRF0HA,final_bonus,1.17
AK7NIT4IJ8X6D:336KAV9KYQSENNSAY1XEKXPIJLBY2Q,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
AK7NIT4IJ8X6D:336KAV9KYQSENNSAY1XEKXPIJLBY2Q,final_bonus,1.4
ANK8K5WTHJ61C:3RXPCZQMQPB7CBPELRBU8E89MJ9G1V,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
ANK8K5WTHJ61C:3RXPCZQMQPB7CBPELRBU8E89MJ9G1V,final_bonus,0.73
ATKG4FI2S5MVL:37ZHEEHM6WMKTLSSFSLJQUADL03376,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
ATKG4FI2S5MVL:37ZHEEHM6WMKTLSSFSLJQUADL03376,final_bonus,0.84
AU849EHZNGV2Z:3FTOP5WARFOHWOUXXESXRMHF9JJ0JF,params,{u'creationDate': u'Thu Feb 23 14:00:17 2017'}
AU849EHZNGV2Z:3FTOP5WARFOHWOUXXESXRMHF9JJ0JF,final_bonus,1.05
